Id,Name,Usage,Disease,Disease ID,In a panel,Evidence level,Type,Source,Source ID,Assay/Test,Pmid,Molecular type,Molecular ID,Treatment
877,Vascular endothelial growth factor A,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),11289126,Protein,P15692,
878,Telomerase protein component 1,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Polymerase chain reaction,11342979,Protein,Q99973,
879,Alpha-methylacyl-CoA racemase,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,15371879,Protein,Q9UHK6,
880,Thymosin beta-15A,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),15885237,Protein,P0CG34,
881,Vascular endothelial growth factor A,PrognosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),16101195,Protein,P15692,
882,Annexin A3,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,20957673,Protein,P12429,
883,Interleukin-18-binding protein,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20878981,Protein,O95998,
884,Homeobox protein engrailed-2,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21364037,Protein,P19622,
885,Anterior gradient protein 2 homolog,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22072305,Protein,O95994,
886,Fibronectin,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|real-time polymerase chain reaction,24494028,Protein,P02751,
887,TMPRSS2-ERG prostate cancer specific isoform 1,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21600800,Protein,B2Y833,
888,Tumor protein p53-inducible nuclear protein 2,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry|real-time polymerase chain reaction,24494028,Protein,Q8IXH6,
889,PCA3,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,22585386,Protein,,
890,PCA3,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21600800,Protein,,
891,Prostate-specific G-protein coupled receptor,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Real-time polymerase chain reaction,20672322,Protein,,
892,Prostate-specific antigen,DiagnosticBM,Malignant neoplasm of prostate,http://ns.ontoforce.com/datasets/icd10/C61,No,,Molecular Biomarker,Urine,UBERON_0001088,Fluoroimmunoassay,15780371,Protein,P07288,
893,Endothelial lipase,DiagnosticBM,Malignant neoplasm of stomach,http://ns.ontoforce.com/datasets/icd10/C16,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,21365014,Protein,Q9Y5X9,
894,72 kDa type IV collagenase,DiagnosticBM,Malignant neoplasms of female genital organs,http://ns.ontoforce.com/datasets/icd10/C51-C58,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis,12893214,Protein,P08253,
895,Matrix metalloproteinase-9,DiagnosticBM,Malignant neoplasms of female genital organs,http://ns.ontoforce.com/datasets/icd10/C51-C58,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis,12893214,Protein,P14780,
896,Matrix metalloproteinases(high-molecular-weight form),DiagnosticBM,Malignant neoplasms of female genital organs,http://ns.ontoforce.com/datasets/icd10/C51-C58,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis,12893214,Protein,,
897,Cystatin-C,RiskBM,Metabolic syndrome,http://ns.ontoforce.com/datasets/icd10/E88.81,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21051748,Protein,P01034,
898,Type I collagen,PrognosticBM,Metastatic Carcinoma in the Bone,http://ns.ontoforce.com/datasets/nci/C36082,No,,Molecular Biomarker,Urine,UBERON_0001088,Machine read urine test strip,19931437,Protein,,
899,Meprin A subunit alpha,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,Q16819,
900,Filamin-C,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,Q14315,
901,Talin-1,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,Q9Y490,
902,Titin,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,Q8WZ42,
903,Filamin-B,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,O75369,
904,CUB and sushi domain-containing protein 3,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,Q7Z407,
905,Desmoglein-2,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,Q14126,
906,Obscurin,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,Q5VST9,
907,ATP-binding cassette sub-family B member 9,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,Q9NP78,
908,Neural cell adhesion molecule L1-like protein,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,O00533,
909,Nectin-4,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,Q96NY8,
910,Interleukin-6 receptor subunit beta,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,P40189,
911,Thrombomodulin,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,P07204,
912,Latent-transforming growth factor beta-binding protein 2,DiagnosticBM,Mucocutaneous lymph node syndrome [Kawasaki],http://ns.ontoforce.com/datasets/icd10/M30.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Liquid chromatography-mass spectrometry,23281308,Protein,Q14767,
913,Ig lambda chain V-II region BUR,DiagnosticBM,Multiple sclerosis,http://purl.obolibrary.org/obo/DOID_2377,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20171744,Protein,P01708,
914,Parvalbumin alpha,DiagnosticBM,Musculoskeletal system disease,http://purl.obolibrary.org/obo/DOID_17,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,12298096,Protein,P02625,
915,Fibrinogen alpha chain,DiagnosticBM,Neonatal urinary tract infection,http://ns.ontoforce.com/datasets/icd10/P39.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,22075168,Protein,P02671,
916,Neutrophil gelatinase-associated lipocalin,DiagnosticBM,Neonatal urinary tract infection,http://ns.ontoforce.com/datasets/icd10/P39.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23936859,Protein,P80188,
917,Hepatitis A virus cellular receptor 1,DiagnosticBM,Neonatal urinary tract infection,http://ns.ontoforce.com/datasets/icd10/P39.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23936859,Protein,Q96D42,
918,Matrix metalloproteinase-9,DiagnosticBM,Neoplasm,http://ns.ontoforce.com/datasets/icd10/C00-D49,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|western blot,9537238,Protein,P14780,
919,72 kDa type IV collagenase,DiagnosticBM,Neoplasm,http://ns.ontoforce.com/datasets/icd10/C00-D49,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|western blot,9537238,Protein,P08253,
920,Matrix metalloproteinases(high-molecular-weight form),DiagnosticBM,Neoplasm,http://ns.ontoforce.com/datasets/icd10/C00-D49,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis,9537238,Protein,,
921,Neutrophil gelatinase-associated lipocalin,PredictiveBM,Nephrectomy,http://ns.ontoforce.com/datasets/nci/C15284,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22262478,Protein,P80188,Laparoscopic donor nephrectomy
922,Metallothionein-2,DiagnosticBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),21786387,Protein,P02795,
923,Protein O-GlcNAcase,DiagnosticBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme activity assay,21786387,Protein,O60502,
924,Malondialdehyde(MAD),DiagnosticBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,High performance liquid chromatography-mass spectrometry,21786387,Protein,,
925,Alpha-1-antiproteinase,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,19336034,Protein,P17475,Accidental exposure to uranium
926,Ceruloplasmin,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,19336034,Protein,P13635,Accidental exposure to uranium
927,Serine protease inhibitor A3L,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,19336034,Protein,P05544,Accidental exposure to uranium
928,Dipeptidyl peptidase 2,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,19336034,Protein,Q9EPB1,Accidental exposure to uranium
929,Cadherin-1,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,19336034,Protein,Q9R0T4,Accidental exposure to uranium
930,Gamma-glutamyl hydrolase,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,19336034,Protein,Q62867,Accidental exposure to uranium
931,Kallikrein-1,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,19336034,Protein,P00758,Accidental exposure to uranium
932,Pancreatic alpha-amylase,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,19336034,Protein,P00689,Accidental exposure to uranium
933,Pro-epidermal growth factor,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,19336034,Protein,P07522,Accidental exposure to uranium
934,Serotransferrin,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,19336034,Protein,P12346,Accidental exposure to uranium
935,Serum albumin,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry|western blot,19336034,Protein,P02770,Accidental exposure to uranium
936,Transthyretin,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis|mass spectrometry,19336034,Protein,P02767,Accidental exposure to uranium
937,Vitamin D-binding protein,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis,19336034,Protein,P04276,Accidental exposure to uranium
938,Hepatitis A virus cellular receptor 1,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),24040783,Protein,Q96D42,Gadolinium-based contrast
939,Cystatin-C,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),24040783,Protein,P01034,Gadolinium-enhanced magnetic resonance imaging
940,Interleukin-8,PredictiveBM,Nephropathy induced by heavy metals,http://ns.ontoforce.com/datasets/icd10/N14.3,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),24040783,Protein,P10145,Gadolinium-based contrast
941,Hepatitis A virus cellular receptor 1 homolog,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,23788329,Protein,O54947,Cisplatin administration
942,Glutathione S-transferase alpha-1,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,23788329,Protein,P00502,Cisplatin administration
943,Serum albumin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,23788329,Protein,P07724,Cisplatin administration
944,Beta-2-microglobulin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay|enzyme linked immunosorbent assay (ELISA)|fluorescence-activated cell sorting method,23912714,Protein,P07151,Aristolochic acid (AA)
945,Neutrophil gelatinase-associated lipocalin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay|enzyme linked immunosorbent assay (ELISA)|fluorescence-activated cell sorting method,23912714,Protein,P30152,Aristolochic acid (AA)
946,Osteopontin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay|enzyme linked immunosorbent assay (ELISA)|fluorescence-activated cell sorting method,23912714,Protein,P08721,Aristolochic acid (AA)
947,Calbindin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay|enzyme linked immunosorbent assay (ELISA)|fluorescence-activated cell sorting method,23912714,Protein,P07171,Aristolochic acid (AA)
948,N-acetyl-beta-D-glucosaminidase,DiagnosticBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,19839026,Protein,Q8VIJ5,
949,Serum albumin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20458319,Protein,P07724,Exposure to carbapenem A or gentamicin
950,Clusterin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20458319,Protein,P05371,Exposure to carbapenem A or gentamicin
951,Glutathione S-transferase A1,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20458319,Protein,P13745,Exposure to carbapenem A or gentamicin
952,Hepatitis A virus cellular receptor 1 homolog,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20458319,Protein,O54947,Exposure to carbapenem A or gentamicin
953,Neutrophil gelatinase-associated lipocalin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20458319,Protein,P30152,Exposure to carbapenem A or gentamicin
954,Osteopontin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20458319,Protein,P08721,Exposure to carbapenem A or gentamicin
955,Trefoil factor 3,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20458319,Protein,Q03191,Exposure to carbapenem A or gentamicin
956,Clusterin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20118187,Protein,P05371,A reference nephrotoxin or one of several proprietary compounds
957,Hepatitis A virus cellular receptor 1 homolog,DiagnosticBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,19839026,Protein,O54947,
958,Hepatitis A virus cellular receptor 1 homolog,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20118187,Protein,O54947,A reference nephrotoxin or one of several proprietary compounds
959,Neutrophil gelatinase-associated lipocalin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20118187,Protein,P30152,A reference nephrotoxin or one of several proprietary compounds
960,DNA-directed RNA polymerase I subunit RPA1,DiagnosticBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,19839026,Protein,O54889,
961,Metalloproteinase inhibitor 1,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),20118187,Protein,P30120,A reference nephrotoxin or one of several proprietary compounds
962,Glutathione S-transferase A1,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21150870,Protein,P13745,Injections of gentamicin
963,Hepatitis A virus cellular receptor 1 homolog,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21150870,Protein,O54947,Injections of gentamicin
964,Neutrophil gelatinase-associated lipocalin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21150870,Protein,P30152,Injections of gentamicin
965,Osteopontin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21150870,Protein,P08721,Injections of gentamicin
966,Clusterin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,21150870,Protein,P05371,Injections of gentamicin
967,Neutrophil gelatinase-associated lipocalin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),22083497,Protein,P11672,Anti-DNA antibodies
968,Collagen alpha-1(I) chain,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,22509332,Protein,P02454,Cisplatin or gentamicin
969,Collagen alpha-1(III) chain,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,22509332,Protein,P13941,Cisplatin or gentamicin
970,Collagen alpha-2(I) chain,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Mass spectrometry,22509332,Protein,P02466,Cisplatin or gentamicin
971,Serum albumin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis,23261757,Protein,P02770,Gentamicin
972,Serotransferrin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis,23261757,Protein,P12346,Gentamicin
973,Hemopexin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis,23261757,Protein,P20059,Gentamicin
974,Vitamin D-binding protein,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Gel electrophoresis,23261757,Protein,P04276,Gentamicin
975,Serum albumin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23916665,Protein,P07724,Envenomation
976,Putative uncharacterized protein,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),23916665,Protein,Q3UMV5,Envenomation
977,Clusterin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,23933529,Protein,P05371,Fluoride exposure
978,Osteopontin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,23933529,Protein,P08721,Fluoride exposure
979,Heat shock-related 70 kDa protein 2,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Western blot,23933529,Protein,P14659,Fluoride exposure
980,Beta-2-microglobulin,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,23933529,Protein,P07151,Fluoride exposure
981,Cystatin-C,PredictiveBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Immunoassay,23933529,Protein,P14841,Fluoride exposure
982,Beta-2-microglobulin,DiagnosticBM,"Nephropathy induced by other drugs, medicaments and biological substances",http://ns.ontoforce.com/datasets/icd10/N14.1,No,,Molecular Biomarker,Urine,UBERON_0001088,Enzyme linked immunosorbent assay (ELISA),15967208,Protein,P61769,
